Search,Title,Location,Salary,Description,Skills,URL
Data Engineer,Mobile Developer - iOS,"Reston, VA","['120', '140']","If you are an iOS Developer with experience, please read on!Based in Reston, VA., we are an innovative cloud based mobile platform that specializes in powerful mobile apps for our well-known clients. Our mission is to revolutionize how work gets done. Due to growth and demand for our services, we are in need of hiring an iOS Developer who has knowledge of UX/UI standards and expertise with iOS development and Objective-C.If you are interested in joining an innovative cloud-based software service and mobile app platform revolutionizing how work gets done, pushes the envelope, and definitely cares about providing a great work environment for its employees, then apply immediately.Top Reasons to Work with UsNamed in Washington Journal as Best Places to WokrNamed one of the 10 must have business AppsCollaborative  environment fueled by innovationWhat You Will Be DoingDesign and build applications for the iOS platform Collaborate with a team to define, design, and ship new features Ensure the performance, quality, and responsiveness of applicationsWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:- Objective-C- iOS Development- Core Data- Core Animation- APIPlus skills:-Swift-Cocoa-UX/UI standardsWhat's In It for You$120k-$140k (DOE)equitybonus health benefitsSo, if you are a iOS Developer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Objective-C
                                    
                                
                            
                            
                                
                                    
                                    iOS Development
                                    
                                
                            
                            
                                
                                    
                                    Cocoa
                                    
                                
                            
                            
                                
                                    
                                    Core Data
                                    
                                
                            
                            
                                
                                    
                                    Core Animation
                                    
                                
                            
                            
                                
                                    
                                    API",https://www.cybercoders.com/mobile-developer-ios-job-427553
Data Engineer,Operations Support Engineer,"Boston, MA","['60', '85']","Ready to join the bio-tech & life sciences & chemical safety revolution? We're building sensors, instruments, lasers, devices & platforms to change the way patients are treated & keeping people safe in the workplace. We're a fast growing, well-funded engineering-driven device company composed of industry veterans,  located north-west of Downtown Boston. We maintain a fast-paced start up environment where we value R&D, engineering & innovation. We've already assembled the best-of-the-best engineering team & due to our booming growth & need to move products from development to manufacturing, we need to continue to scale out our team. If you have outstanding quality control, database system support & are eager to grow & learn, we want to speak with you! We will even consider junior candidates with a strong background in EE, CS, CE, Physics or similar field.What You Need for this Position- Technical Degree, BS/ MS (preferred) in Physics, Mechanical Engineering, EE, Computer Engineering, etc. - Some experience in quality control, quality engineering, operations support in a production environment building products with HW & SW components- Some experience with internal production data, database support, table making, etc. - Some basic coding skills with languages like Visual Basic, etc. - Experience working around boards, PCB's, Circuitry, etc. - Troubleshooting experience- Startup mentality & do-what-it-takes attitudeWhat You Will Be Doing- Supporting the head of engineering operations on quality control, manufacturing control, eventually move into a Quality Engineer role- Handling internal production data, database system support, basic coding, table making, etc.- Testing components, subsystems, completed product as neededWhat's In It for You- Be a part of a truly innovative, well-funded startup working on the most innovative life-sciences technology on the market- Earn great pay, stock, industry best health benefits, other perks, PTO, etc.- Work with a very bright team of engineers with high-impact and real room for growth- Join the company that you will want to grow with for years to come through eventual exitSo, if you are a motivated engineer with some experience supporting operations & quality control in a production environment (we will consider junior candidates with a relevant degree), apply today!","Preferred Skills
                
                    
                            
                                
                                    
                                    Quality Control
                                    
                                
                            
                            
                                
                                    
                                    Database Management Systems
                                    
                                
                            
                            
                                
                                    
                                    Electronics Manufacturing
                                    
                                
                            
                            
                                
                                    
                                    Production Data
                                    
                                
                            
                            
                                
                                    
                                    Quality Engineering
                                    
                                
                            
                            
                                
                                    
                                    Data Table Making
                                    
                                
                            
                            
                                
                                    
                                    Visual Basic
                                    
                                
                            
                            
                                
                                    
                                    Circuitry",https://www.cybercoders.com/operations-support-engineer-job-417482
Data Engineer,Senior Java Engineer,"Seattle, WA",[],"If you are a Senior Java Engineer, please read on!Top Reasons to Work with Us1. Based in downtown Seattle, we are an established leader in the mobile messaging space.2. We offer the flexibility of a startup, but our 300 employee company also has the backing up a multi-billion dollar corporation. 3. You will have the chance to work on exciting new projects with a talented team.What You Will Be DoingDesign, build, configure, and test platform software. Our service oriented architecture consists of a growing number of web services that drive our mobile messaging platform. Working on a small, dedicated platform service team, you will ensure your tools and services are able to scale and server other engineer teams while maintaining high-performance in a 99.99% up-time environment.What You Need for this PositionWhat to bring-A collaborative working style—communicate and work well in our team environment-Expert-level Java server-side software design and development-Creative and analytical problem-solving skills-Thorough understanding of persistence (SQL or NoSql) and data modeling-Solid practices around testing to ensure quality (e.g. unit testing, TDD, integration testing, performance testing)-Working knowledge of Linux such as scripting and command line tools-Desire to lead by example by promoting standards and methodologies within your team-Ability to organize and provide direction to your service teamNice to have-Experience with high availability and scalability of RESTful web services and microservices-Experience with dependency injection frameworks (Spring, Guice)-Experience with Agile software development methodologies-Experience with Maven and Git-Experience with UI frameworks (AngularJS, ReactJS)-Knowledge of mobile messagingYou’ll be a great fit if-You love being a part of a small, dynamic, and agile team that encourages you to learn and grow-You desire to work with some of the world’s top brands-You love finding solutions to interesting problems-You welcome having autonomy with complex tasks-You are passionate about using your experience and expertise to inspire the teamWhat's In It for You-Competitive Base Salary -Bonus-401k-PTO/Vacation-Holidays-Medical/Dental/Vision Benefits-Relocation AssistanceSo, if you are a Senior Java Engineer, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Java
                                    
                                
                            
                            
                                
                                    
                                    Spring
                                    
                                
                            
                            
                                
                                    
                                    Sacalability
                                    
                                
                            
                            
                                
                                    
                                    High Availability
                                    
                                
                            
                            
                                
                                    
                                    Multithreading
                                    
                                
                            
                            
                                
                                    
                                    Enterprise Class Environments
                                    
                                
                            
                            
                                
                                    
                                    Data Processing
                                    
                                
                            
                            
                                
                                    
                                    Big Data
                                    
                                
                            
                            
                                
                                    
                                    Cloud Computing (AWS)
                                    
                                
                            
                            
                                
                                    
                                    Continuous Delivery",https://www.cybercoders.com/senior-java-engineer-job-425151
Data Engineer,Senior Android Engineer - Will Relocate,"Seattle, WA","['150', '300']","If you are a Senior Android Engineer, please read on!We will relocate you from anywhere. Simply put...all we care about.....is that you are TALENTED!Who are we? Well....you can't miss us. We are public, stable and a brand that every person with a mobile device, tv....KNOWS! We have disrupted every category we enter. With over 200M users and over 100M app downloads....you can reach people like you never have before.  Your work WILL MATTER!*** WE WILL RELOCATE YOU FROM ANYWHERE!Top Reasons to Work with Us1. We will relocate.2. We are open to any candidate - ANYWHERE.3. We are looking for the brightest minds.What You Need for this Position- 5+ yrs relevant work experience- Android Experience- Computer Science fundamentals in data structures, algorithm design, problem solving, and complexity analysisSo if you are a Senior Android Engineer- APPLY TODAY!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Android
                                    
                                
                            
                            
                                
                                    
                                    Data Structures
                                    
                                
                            
                            
                                
                                    
                                    Algorithm Design
                                    
                                
                            
                            
                                
                                    
                                    Java",https://www.cybercoders.com/senior-android-engineer-will-relocate-job-281760
Data Engineer,Full-Stack Developer,"Charleston, SC","['100', '140']","Disruptive. Game Changer. Truly innovative. These are just some of the ways we've been described in multiple media outlets & in the financial & capital market world. We are a leader in high-performance, ultra low-latency financial technology and we are changing the way that investors and traders compete and do business. We are effectively creating an equal playing field for all investors, traders and firms of any size to compete with the big boys. Our team is composed of the best and the brightest, working on big data, matching engine technology while maintaining a casual working environment. We are looking for high-energy, down-to-earth developers who are ready to build out our next-gen technology and continue to disrupt the market.  We need 5 senior developers (& some mid-level) who are strong in full-stack software development in a Linux production environment. We can hire people who are currently located in or looking to relocate to either Charleston, SC or NY, NY!What You Need for this Position• BS / MS (Preferred) in CS / EE / CE and outstanding background in coding fundamentals in a production environment• C++, Python, Ruby, JavaScript, Java or related production programming experience in a Linux environment• Data Structures & SW design, strong debugging & analytical experience• Data Feed, Capital Markets or Financial Technology experience a plus• Experience working with large data sets, data stores, distributed computing & related tools is a plus• Hands on Bash, Shell, Unix Scripting / Unix Command Line experience is a big plus• Capital markets, financial services or trading experience is a big plus• Full-scale Software Development LifeCycle experience including Test-Driven or Behavioral-Driven development experience (BDD/ TDD)• Passion for & ideally some hands on experience with real-time financial analysis, low-latency microstructure & ideally some finance or related product experience• Must be a good problem solver and have a drive to make the right decisions the first time in a fast-paced environmentWhat You Will Be Doing• Coding daily in languages like C++, Python, Scala, JavaScript• Full-stack development in a production environment. • Building highly-scalable, massively parallel trading infrastructure & platform for real time analysis of tera/petabyte data stores• Building tech that processes huge amounts of real-time market dataWhat's In It for You• Top pay, benefits, stock and ability to work in one of the most exciting technology fields• Relocation assistance for non-local, top candidates looking to move to the Charleston, SC area (Preferred) or NYC!• Laid back, casual but fast-paced Silicon-Valley style work environment, surrounded by the best and the brightest technical and financial minds• Make a true impact on our company and products with high-visibility and possibilities for career growth• The opportunity to gain meaningful career development while working with the core development team• Opportunity to learn a ton and to continue to grow as a developerSo, if you are a top Senior developer with a track record of releasing successful products in a production environment working on the entire stack, please apply today!","Preferred Skills
                
                    
                            
                                
                                    
                                    C++
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    JavaScript
                                    
                                
                            
                            
                                
                                    
                                    TDD / BDD
                                    
                                
                            
                            
                                
                                    
                                    Large-Scale big data applications
                                    
                                
                            
                            
                                
                                    
                                    Financial Services / Capital Markets
                                    
                                
                            
                            
                                
                                    
                                    Unix Command Line
                                    
                                
                            
                            
                                
                                    
                                    Data Structures
                                    
                                
                            
                            
                                
                                    
                                    Full-Stack Development",https://www.cybercoders.com/full-stack-developer-job-421876
Data Engineer,Senior Machine Learning Engineer,"Arlington, VA","['110', '175']","Based in the greater Arlington, VA area, we are one of the most innovative and ""Fast growing"" Security Technology Solution companies in the area. We are working on some of the most complex Threat/Vulnerability challenges the world has to face!  With access to the most advanced technologies, our team is composed of experts in the world of Network Security solutions. Our leadership team brings experiences from leading global technology firms and pride themselves in their hands-on, mentor level management style.What You Will Be Doing*** We are looking for a variety of ML experts, so if you have expertise in ANY of the following areas, please read on and APPLY.  :)    *** - Networking Technologies- Cyber Security- Big Data / Data Science- Audio and/or noise processing, along with digital signal processingProgramming with Python, C/C++, Java, or similar language, and knowledge of computer science fundamentals.Comfortable using mathematics, statistics, or visualization to model and analyze complex problems and communicate research results.Ability to work collaboratively on multidisciplinary teams.What You Need for this PositionRequirements:• Bachelor’s degree in Computer Science or related discipline from an accredited college or university. • Possess a deep understanding of machine learning techniques• Familiarity with software development tools and platforms (Git, Linux, etc.).• Some experience with data science tools like Keras, Sklearn, Spark, etc.• Any prior research is helpful: blog posts, GitHub repos, publications• A big plus would be Active DoD security clearance.Nice to haves:•Experience working in research and development environments•Ability to handle multiple projects at once and time sensitive projectsWhat's In It for YouWe are willing to offer excellent compensation packages that range from $110k - $175k ,depending on your level of expertise, plus excellent benefits. We are also located in a centrally located area with access to 2 major freeways, and a beautiful office.So, if you are looking for a growth opportunity, please apply today!***  You can also email me directly at Evan.Cornutt@cybercoders.com
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Machine Learning
                                    
                                
                            
                            
                                
                                    
                                    Deep Learning
                                    
                                
                            
                            
                                
                                    
                                    Python C++ OR Java
                                    
                                
                            
                            
                                
                                    
                                    Cyber Security
                                    
                                
                            
                            
                                
                                    
                                    networking technologies
                                    
                                
                            
                            
                                
                                    
                                    Big Data
                                    
                                
                            
                            
                                
                                    
                                    Data Science
                                    
                                
                            
                            
                                
                                    
                                    Audio/Noise/Digital Signal
                                    
                                
                            
                            
                                
                                    
                                    Ability to attain SECRET security clearance
                                    
                                
                            
                            
                                
                                    
                                    Full Scope Poly",https://www.cybercoders.com/senior-machine-learning-engineer-job-422687
Data Engineer,Software Engineer,"Saint Louis, MO","['75', '110']","We have an exciting career opportunity for a Software Engineer with C++ programming and algorithm / multi-threaded development experience to join a fast growing St. Louis based Internet Security Company.We are seeking an intelligent, highly motivated Software Engineer to work with a team of dedicated engineers developing new products for handling enterprise data.What You Need for this PositionQualifications:* Must be an intelligent, resourceful and motivated with an aptitude for algorithms, data structures and multi-threaded design. * Must have strong object oriented design experience, and should be comfortable developing in C++ in a Linux environment. * Must be able to quickly learn about new product spaces and their associated algorithms and performance issues.* Experience optimizing and tuning applications for performance.* Experience with debugging applications in a Linux environment.* Experience with profiling and memory analysis tools.* Familiarity with RedHat, SUSE, or Ubuntu Linux.* User interface design experience (either web based or standalone applications)* Familiarity with scripting languages (shell, Perl, Python, PHP, etc)* Education: MS or higher in Computer Science, Electrical Engineering, or Computer Engineering is preferred, but candidates with a Bachelor's degree in a similar field or with relevant industry experience will be considered if the above qualifications are met.What's In It for YouWe offer an above average area competitive compensation and full benefits package including company paid health and dental benefits for employees and dependentsOther Perks:* Comfortable desk space with three monitors per workstation.* Free soda / juice / coffee / water.* Free lunch a few times a week.* Casual dress code (jeans).Relocation assistance is available.What You Will Be DoingThe position will involve designing and developing algorithms for heterogeneous computer platforms that include standard processors, FPGAs (Field Programmable Gate Arrays), and GPUs (Graphics Processing Units). You will not be expected to write hardware code to run on the FPGAs but will need to understand the general capabilities of the hardware and how to mold software around it.This is a fantastic career opportunity to join a fast growing and employee friendly St. Louis based Company!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Software Engineer
                                    
                                
                            
                            
                                
                                    
                                    C++(OOD) C++ programming
                                    
                                
                            
                            
                                
                                    
                                    Algorithm Design/development
                                    
                                
                            
                            
                                
                                    
                                    Data Structures
                                    
                                
                            
                            
                                
                                    
                                    Program Optimization
                                    
                                
                            
                            
                                
                                    
                                    Customer Facing UI Design
                                    
                                
                            
                            
                                
                                    
                                    GPU's
                                    
                                
                            
                            
                                
                                    
                                    Redhat
                                    
                                
                            
                            
                                
                                    
                                    multi-threaded design",https://www.cybercoders.com/software-engineer-job-415385
Data Engineer,Senior QA Engineer (Python/Java),"San Jose, CA","['140', '150']","If you are a Senior QA Engineer with experience, please read on!What You Will Be DoingWork in a highly interactive, team-oriented environmentActively improve software platform using new tools, frameworks, and technologiesBecome a key contributor in our top-notch engineering teamParticipate in system design, architecture decisions, and lead regular code reviewsBeing able to speak cross discipline to determine where and what kind of testing is needed mostExperience in formulating test plans for road mapping automated test development roadmaps.Understand the products, services, and featuresBuild and maintain an automated test infrastructure for a multi-platform product that will be used to validate all aspects of the product operation.Evaluate product functionality and create test strategies and test cases to assess product quality.Integrate with deployment infrastructure to establish a continuous build and test cycle.Establish processes and tools set to maintain automation scripts and generate regular test reports.Debug, report and verify bugs related to your coverage areaBuild and maintain test bedsWhat You Need for this Position5+ years of expert knowledge of some scripting language such as Python, Shell etc.A desire to find the simplest, testable, solutions to problemsAbility to take a feature or product requirement and turn that into softwareAnalytical and problem solving abilities with close attention to detailProven strong collaboration and influencing skillsBachelors/Masters in Computer Science or equivalent experienceExposure to big data analytics, data mining, and cloud computingExposure to message queue technologies and cloud technologiesExperience with:RESTful APIs, XML, Node.JS, Python, and JSON desiredNoSQL systems (Cassandra, HBase, etc.)Knowledge of Python, Bash, & JavascriptWhat's In It for YouCompetitive salaryStock OptionsHealth, dental, and vision insurance401k benefitsDiverse, passionate, and skilled co-workersCasual working environmentWeekly company lunchesQuarterly company outingsFlexible UNLIMITED PTODiscounted Pet InsuranceDisability and Life InsuranceCommuter Benefits, Retirement Plans, and Shopping discountsSo, if you are a Senior QA Engineer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Java
                                    
                                
                            
                            
                                
                                    
                                    Node.js
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    RESTful APIs
                                    
                                
                            
                            
                                
                                    
                                    Big Data
                                    
                                
                            
                            
                                
                                    
                                    Data Mining
                                    
                                
                            
                            
                                
                                    
                                    Cloud Computing
                                    
                                
                            
                            
                                
                                    
                                    JavaScript",https://www.cybercoders.com/senior-qa-engineer-python-java-job-412137
Data Engineer,"Front End Developer - JavaScript, Bootstrap","Tampa, FL","['75', '100']","Job Title: Front End Web Application DeveloperLocation: Tampa, FLSalary: $70k - $105k +/- (DOE)Relocation assistance provided!If you're a Front End Web Application Developer, experienced with building data-driven web applications, please read on!We've developed the leading big data software suite used by some of the nations top pathologists, hospitals, and pharmaceutical companies!  Our next-generation platform integrates large digital pathology images with patient metadata, providing an integrated view of each patient’s case, pathology images, history, and related data. Join us as we continue to expand our progressive software suite and improve the quality of life for millions!What You Will Be Doing•Responsible for creating data-driven web applications•Work cross-functionally with UX designers, product stakeholders, and engineering teams to design, build, and deliver user-centric user-centric products and services•Develop user-facing features and enhancements for our responsive web interfaces•Participate in project planning actives for compliance with design/development guidelines, existing patterns, and standards•Work alongside the product team to develop and leverage a design system of patterns, rules, style, interaction, code, and control librariesWhat You Need for this PositionBachelors degree with 3+ years of professional experience and knowledge of:•Proficiency with modern JavaScript frameworks and ability to code from scratch•Delivering data-driven web applications •Visual Studio and ASP.NET MVC•HTML5 and CSS3•Bootstrap / Foundation•A solid understanding of cross-browser compatibility issues and workarounds, including browser rendering behavior and performance•Vector and motion graphics experience preferredWhat's In It for YouEXCELLENT benefits Including:•Competitive salaries•Bonus - Vacation/PTO•Medical•Dental•Vision•401(k) and much more!So, if you are a Front End Web Application Developer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    JavaScript
                                    
                                
                            
                            
                                
                                    
                                    SaaS
                                    
                                
                            
                            
                                
                                    
                                    Visual Studio
                                    
                                
                            
                            
                                
                                    
                                    HTML5 / CSS3
                                    
                                
                            
                            
                                
                                    
                                    Bootstrap
                                    
                                
                            
                            
                                
                                    
                                    SVG
                                    
                                
                            
                            
                                
                                    
                                    Data Visualization
                                    
                                
                            
                            
                                
                                    
                                    Data-driven web applications",https://www.cybercoders.com/front-end-developer-javascript-bootstrap-job-419126
Data Engineer,Lead Application Developer,"Pittsburgh, PA","['95', '110']","If you are a Senior/Lead Application Developer with 4+ years experience, please read on!Top Reasons to Work with UsWe are a pillar of stability in the financial industry.  We believe that our people are what sets us apart from our competition and is our greatest advantage.What You Will Be Doing- Leading the design and development of multi-platform application systems- Analyze feasibility, costs, time, and compatibility of new/existing programs to ensure the optimal level of performance. - Complex applications programming from coding and testing to maintaining and modifying.What You Need for this PositionAt Least 3 Years of experience and knowledge of:- IIB- Rest- SOAP, SOAP UI- XMLWhat's In It for YouHighly Competitive SalaryFull Benefits, 401(k) with a match, PTO, and much more!So, if you are a Senior/Lead Application Developer with 4+ years of experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Java
                                    
                                
                            
                            
                                
                                    
                                    Web Services
                                    
                                
                            
                            
                                
                                    
                                    SOAP
                                    
                                
                            
                            
                                
                                    
                                    Rest
                                    
                                
                            
                            
                                
                                    
                                    Data Analysis
                                    
                                
                            
                            
                                
                                    
                                    Data Modeling
                                    
                                
                            
                            
                                
                                    
                                    design concepts",https://www.cybercoders.com/lead-application-developer-job-409054
Data Engineer,Senior Database Engineer,"Santa Monica, CA","['150', '175']","If you are an experienced Senior Database Engineer looking for your next challenge, please read on!We are a Top Media Streaming Brand in the business of uplifiting and entertaining original content. Our goal is to take one of America's iconic brands to the forefront of the digital age. We are excited to bring on an experienced, passionate Sr. Database Engineer to our team in Santa Monica, CA, to create, maintain, and monitor secure and highly performant databases.What's In It for You- Competitive Base Salary- Medical, Dental, Vision- Unlimited Vacation- Catered Lunches- Beautiful Santa Monica Office- Thriving Team EnvironmentWhat You Will Be Doing- Design, develop, and maintain multiple databases- Create and implement backup and recovery plans; disaster recovery and high availability plans- Implement security standards- Establish database development standards- Effectively lead and develop a teamWhat You Need for this Position- CS degree or equivalent experience- 8+ years as a Database Engineer- SQL - Data modeling experience- Performance tuning- Disaster recovery and backup experiencePlus skills! (not required)+ Experience leading or managing a team+ Microservice data schema design+ eCommerce experience+ AWS + MySQL or PostgreSQL+ Creating ERDs+ Iterative software development+ Data warehousingSo, if you are a Senior Database Engineer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    SQL
                                    
                                
                            
                            
                                
                                    
                                    Data Modeling
                                    
                                
                            
                            
                                
                                    
                                    Performance Tuning
                                    
                                
                            
                            
                                
                                    
                                    Disaster Recovery
                                    
                                
                            
                            
                                
                                    
                                    AWS
                                    
                                
                            
                            
                                
                                    
                                    MySQL
                                    
                                
                            
                            
                                
                                    
                                    PostgreSQL
                                    
                                
                            
                            
                                
                                    
                                    ERD
                                    
                                
                            
                            
                                
                                    
                                    Redshift",https://www.cybercoders.com/senior-database-engineer-job-346099
