Title,Location,Salary,Description,Skills,URL
"Systems Security Analyst - whitelisting, NAC - URGENT","Providence, RI","['100', '120']","URGENT ROLE! Located in Providence, RI. If you are a Systems Security analyst with one or more of the following certifications (CISSP, CCSP, OSCP, CISA, CRISC, GIAC, CEH, Security+) and whitelisting or NAC (Network Access Control) experience, please read on!Top Reasons to Work with UsWe are one of the nation's largest health system and private employers. Recognized by the American Heart Association as a Gold Level Start Fit Friendly Company we go above and beyond to ensure our employees health comes before all else.Competitive salary up to $120K and benefits: medical, dental, 401K, vision and more!What You Will Be DoingThe Systems Security Analyst is a critical member of the Chief Information Security Officer's (CISO's) team. This is a hands-on role that requires a high level of technical and analytical expertise. Responsible for a broad range of tasks, including the day-to-day administration of information security tools, the creation of security documentation, governance risk compliance (GRC) management, as well as second-level and third-level support for security information and event management (SIEM).What You Need for this PositionA minimum of five years of IS experience in a versatile, information security role.Experience in Network Access Control (NAC) or Application WhitelistingCertifications Required: (1 or more of the following - CISSP, CCSP, OSCP, CISA, CRISC, GIAC, CEH, Security+).We're looking for someone with a strong analytical background. The candidate must be able to review and identify typical threats by utilizing common vulnerability management tools.Preferred candidates also have skills in the following:Expert level in security best practices.L3 & L4 SOC investigative  experienceMSSP Level 1 and 2 Long-term project experience in a large, corporate environmentA bachelor's degree in information systems or equivalent work experience; an M.B.A. or M.S. in information security is preferred.Certifications Preferred: GIAC, OSCP.What's In It for You- Competitive Salary DOE- Comprehensive Benefits Package- 401(k)This is an urgent role to fill and requires only 2 in-person interviews, followed by a potential offer.So, if you are a Systems Security Analyst with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Network Access Control
                                    
                                
                            
                            
                                
                                    
                                    Application Whitelisting
                                    
                                
                            
                            
                                
                                    
                                    identify application security vulnerabilities
                                    
                                
                            
                            
                                
                                    
                                    Security Analyst
                                    
                                
                            
                            
                                
                                    
                                    Network Architecture
                                    
                                
                            
                            
                                
                                    
                                    Cisco Routers
                                    
                                
                            
                            
                                
                                    
                                    Microsoft Windows
                                    
                                
                            
                            
                                
                                    
                                    Linux
                                    
                                
                            
                            
                                
                                    
                                    Wireshark",https://www.cybercoders.com/systems-security-analyst-whitelisting-nac-urgent-job-410533
Microsoft Tier 1/2 Support Analyst with rotating shift,"Westborough, MA","['70', '80']","We are looking for a Support Analyst to provide day-to-day 1st and 2nd line technical phone and email support to our global client base.Notes: There is a 24x7 after hours support call rotation requirement (for rarely occurring critical production issues only) with a coverage period of 1 out of every ~6-8 weeks.You must be able to work alternate shifts to accommodate clients in different time zones, including 12pm-8pm.The role will include travel, in US and Continental Europe, as well as to our head office and customer locations in the UK.What You Will Be Doing1. Provide 1st and 2nd line customer support as required; support activities include logging calls within the incident management system, assistance over the phone and/or via remote system access, performing problem investigation / verification, providing work-around, providing customer feedback and updates, closing calls.2. Ensure all calls are handled following support workflow and within SLA,3. Work efficiently with minimum distraction and maintain reasonable backlog4. Communicate clearly and precisely with customers to determine expectations for resolutions and provides workarounds to product defects5. Handle customer escalations, including those with high visibility6. Participate in forums, respond to technical questions, share product knowledge with peers as much as possible7. Create knowledge-base articles, test documentation, user guides, technical application notes, FAQs and similar customer-facing materials8. Build, configure and manage Customer-specific test environments using Virtualized Microsoft Windows servers and clients, SQL server and Oracle DBs, and IIS Web servers9. Keep abreast of appropriate Life Sciences regulatory labeling requirements10. Conform with Corporate Quality, Support and Services procedures11. Perform informal and formal execution of test scripts and completion of corresponding Validation documentation as required by Regulatory and Quality guidelinesWhat You Need for this PositionBachelor’s degree in Computer Science, CIS, MIS, Computing Systems, or related technical field and / or a background or experience in a Software technical support role1) Support skills:- A logical approach to problem solving and trouble shooting- Able to multi-task in a fast-paced environment with minimal supervision-  Willingness to go the ‘extra mile’ to ensure customer success and satisfaction- Attention to details & actively listening- Able to balance the demands of multiple clients simultaneously- Easily approachable, reacts calmly under stressful situations- Receive constructive criticism well- Maintains confidentiality- Able to work under pressure- Ability to document support cases clearly, concisely and timely- Desire and Ability to quickly learn new concepts and technology- Knowledge of software support procedures and practices preferred but not required- Knowledge and experience on KCS knowledge management practice desired but not required- Able to work alternate shifts to accommodate clients in different time zones, including 12p-8pm and 24x7 rotation during part of year.- Able to travel to client sites both in the US and Europe2) Technical skills:- Fluent with Microsoft Windows Operating Systems both client and server- Experience with Microsoft IIS 6 and above- Knowledge and experience with relational databases, SQL Server 2000 and above and/or Oracle 10g and above- Experience with Microsoft Virtual Machine/Server, Hyper-V or VMWare- Basic understanding of computer networks and how to trouble shoot networking related issues- Knowledge about Web based software applications and how to trouble shoot- Proven experience in either document management, printing and or labeling solutions across the enterprise- Knowledge and experience in web services- Knowledge and experience in trouble shooting and supporting of windows based applications- Knowledge and experience with N-tier applications- Knowledge and experience with ODBC preferred- Comfortable and experienced with complex database driven client-server and web based applications3) Communication and personal skills:- Able to write clearly and concisely with a good attention to detail and quality (fit for purpose)- Excellent verbal and written communication skills including active listening and questioning skills- Communicate effectively with manager and colleagues- Communicate in a professional manner when working with clients- Able to build internal and external relationships- Effective team player in both co-located and geographically distributed environmentsWhat's In It for YouOpportunity for career advancement includes transitioning to a “Hypercare” Customer Success Specialist with focused, proactive assistance as a product, solution and domain expert, up to and including being part of the implementation team and/or post-implementation Customer team supporting and/or using the application. Longer term career options beyond Sr. Support roles include Implementation Consultant, Pre-Sales Engineer, and Technical Account Manager.So, if you are a Support Analyst with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Level 1 and Level 2 Support
                                    
                                
                            
                            
                                
                                    
                                    Microsoft Windows Operating Systems XP and above
                                    
                                
                            
                            
                                
                                    
                                    Microsoft IIS 6 and above
                                    
                                
                            
                            
                                
                                    
                                    Microsoft Virtual Machine/Server or Hyper-V/VMWare
                                    
                                
                            
                            
                                
                                    
                                    Relational Databases",https://www.cybercoders.com/microsoft-tier-1-2-support-analyst-with-rotating-shift-job-420173
IT Operations Analyst - Audits - Relocate on us!,"Dodgeville, WI","['100', '120']","If you are an IT operations Analyst with experience, please read on!Title: IT Operations Analyst, AuditsLocation: Dodgeville, WI Salary: $110k - $120kCyber Security is the #1 risk identified by Board members and executives in the Retail/Direct-to-Customer market.  As such, we need an experienced professional to partner with IT management and customer-facing business executives to design and test cyber security solutions that are efficient and do not degrade the customer experience.Top Reasons to Work with UsWith over 50 years of experience, we are renowned for our culture of service for the customer and recognized as an innovator in our industry!- Fast track opportunity - Competitive compensation package- Partial remote work- Offers GREAT RELOCATION package!- Great work/life balance that you deserve!- Amazing company perks!- Full Health, Dental Benefits package- Friends and family friendly environmentWhat You Will Be Doing- Partner with IT Management in the implementation and testing of the ISO 27001 framework IT security and efficient operational management. - Development and execution of company-wide IT risk assessments including preparation and execution of the annual IT audit plan in accordance with SOX 404 and other operational audits- Serve as the primary interface with management, financial internal auditors and external auditors in the understanding and execution of SOX audit efforts- Provide insight and thought leadership on Cyber Security risks and prevention- Demonstrate sound project management and administration skills by executing audits and projects within the established timeline, scope, and budget, with minimal supervision - Develop and maintain business acumen to assist in offering meaningful value-add audit servicesWhat You Need for this Position- IT operations and security experience- Experienced with IT risk assessment methodologies ( ISO27001/5, NIST 800-30, etc.)- Working knowledge of relevant technologies a strong plus (e.g., Active Directory/LDAP, MS SQL, Windows Server, Linux, Oracle)- Strong interpersonal and communication skills (both verbal & written) PLUSES:- Some internal or external audit experience - CISA- Systems implementation exposure a plusSo, if you are an IT Operations Analyst with experience, please apply today! or simply e-mail your resume to Madeline@cybercoders.comI look forward to hearing from you!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Information Security
                                    
                                
                            
                            
                                
                                    
                                    CISA
                                    
                                
                            
                            
                                
                                    
                                    LDAP
                                    
                                
                            
                            
                                
                                    
                                    MS SQL
                                    
                                
                            
                            
                                
                                    
                                    Audit",https://www.cybercoders.com/it-operations-analyst-audits-relocate-on-us-job-423388
Pricebook Manager,"Worcester, MA","['60', '70']","Are you hungry for the opportunity to grow within your career and open to learning new systems?  Do you bring a skill set which includes overseeing the day to day operations of the pricebook, POS and accounting systems?  Enjoy partnering with category managers and vendors for accurate and timely data?Then we are definitely looking to connect with you!  Please provide us with your updated resume and take a few moments to complete the skills and experience questionnaire.  We will reach out to your shortly!Top Reasons to Work with UsFor over a quarter century we have been dedicated to providing our customers with superior-quality service. Our success has been and will continue to be shaped by our mission and values.What You Will Be Doing-  Ensure data integrity on information entered into the Pricebook to be accurate, complete and properly formatted.-  Work with Category Managers and Vendors to ensure vendor information is received in an timely basis and standard format.  -  Manage all aspects of new item reporting for new programs, including limited tests and chain rollouts.-  Work with Category Managers to ensure that the gross margin targets are followed for all new and changed items.-  Produce monthly reports for the Category Managers and operations relating to category trends; identify highlights and areas that need improvement.-  Analyze promotional performance using available tools and make recommendations regarding future promotions based on this analysis.-  Work with Category Managers on providing information needed for yearly projections and bi-annual category progress reports.-  Assist Category Managers in ensuring planograms are routinely updated based on sales data.-  Work with Wholesellers and the Category Managers to product their order guide for the stores with items organized by planogram.What You Need for this PositionAt Least 1 Year of experience and knowledge of:- Pricing Analysis- Point Of Sale Systems- Accounting Systems- Pricebook Software -  Envoy, CStore Pro, Salesforce, Sunrise, Netsuite, Red River, DataMax- Excel - Pivot Tables- Access- Gross Margin Management- Monthly Reporting- Promotional Performance Evaluation- Planogram MaintenanceWhat's In It for You- Vacation/PTO- Medical- Dental- Vision- Bonus- 401(k)So, if you are a Pricebook Manager with at least 1 year of experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Pricing Analyst
                                    
                                
                            
                            
                                
                                    
                                    accounting systems
                                    
                                
                            
                            
                                
                                    
                                    Envoy
                                    
                                
                            
                            
                                
                                    
                                    Excel
                                    
                                
                            
                            
                                
                                    
                                    Access
                                    
                                
                            
                            
                                
                                    
                                    Gross Margins
                                    
                                
                            
                            
                                
                                    
                                    Promotional Performance
                                    
                                
                            
                            
                                
                                    
                                    Planograms",https://www.cybercoders.com/pricebook-manager-job-424042
Sr CyberSecurity Engineer - Active Clearance Required - 1169,"Orlando, FL","['85', '120']","If you are a Sr CyberSecurity Engineer with an active security clearance, please read on!We serve those who serve and protect the US by developing engineering programs.What You Will Be DoingEssential Job Description (Security Certification Testing):Systems administration skills, experience with Windows OS, security settings, services, hardening of systems (STIGs, security policies); any Powershell or Python a plus.  Each engineer will be responsible for one subsystem, like an SOU, and going down each component, demonstrating or pointing out the substantiating evidence to the certifiers.Some system setup/teardown will also be done, or need to be supported.IA scanning is a secondary task, utilizing a combination of automated scripts and manual checks.What You Need for this PositionRequired Education/Experience:Must have a bachelor’s degree Bachelor’s Degree from an accredited college in a related discipline8 years of professional experience; or 4 years of professional experience with a related Master’s DegreeActive security clearanceWhat's In It for You- Salary $85k - $120k (DOE)- BenefitsSo, if you are a Sr CyberSecurity Engineer with an active security clearance, please apply today! Or please send your resume to pegah.shakeri@cybercoders.com.
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    Windows OS
                                    
                                
                            
                            
                                
                                    
                                    PowerShell
                                    
                                
                            
                            
                                
                                    
                                    SE Linux Policy",https://www.cybercoders.com/sr-cybersecurity-engineer-active-clearance-required-1169-job-405979
Senior Consultant - Cybersecurity,"Portland, OR","['100', '130']","We are a strong company searching for an cybersecurity pro! Our ideal candidate is a senior-level consultant who has audit and public cloud expertise. If this sounds like you, apply today!What You Will Be Doing-Analyze technical configurations of systems, networks, and applications-Conduct compliance assessments and audits for standards such as PCI-DSS, HIPAA, ISO, SOC2, and more-Perform security scans and analyze results -Conduct incident response and digital forensicsWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:- Consulting- Audit, as it pertains to information security - Public CloudStrong pluses: Background in DevOps or systems administrationWhat's In It for YouAttractive compensation and benefits packageSo, if you are a Information Security Analyst with Audit experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Consulting
                                    
                                
                            
                            
                                
                                    
                                    Audit
                                    
                                
                            
                            
                                
                                    
                                    Public Cloud",https://www.cybercoders.com/senior-consultant-cybersecurity-job-425531
Web Analytics Specialist,"Cincinnati, OH","['60', '75']","We are a digital ad agency with a proven reputation for developing some of the most innovative B2C and B2B campaigns over the last 20 years.  Due to continued agency growth and customer need, we have an immediate need for a Web Optimization Analyst who is an expert at analyzing websites, aggregating data and creating web optimization recommendations.  This is a full time, direct hire role based in our Cincinnati location.Do you have 3+ years of experience in a Data Analytics or Web  Optimization role with strong Google Analytics skills?If so... read on!What You Need for this Position*  3+ years of experience in both Paid Search & Analytics (preferably Google Analytics) in planning, execution, optimization,  reporting, and content development*  Excellent communication skills as this person will be heavy client facing  *  Proactive, detail oriented thinker*  Advanced knowledge of Excel, Google Docs, PowerPoint, Keynote*  Familiar with Google Tag Manager, Google Tag Assistant, browser console debugging, social media analytics tools, consumer behavior/research tools, and/or APIs is a plus*  Strong understanding of: SEO, Paid Search, Digital Media, Social Media, Content Strategy, UX, Ecommerce, Email Marketing, or CRM Role definition*  Previous healthcare industry experience is plus!What You Will Be Doing*  Analyze paid media data across multiple channels (Paid Search, Display, Video/Pre-Roll, etc.) and develop strategic insights that drive current campaigns performance and future campaign planning*  Develop marketing strategies that include multiple (3-5) channels, messaging & testing plans*  Review web analytics data related to search solution *  Continually improve upon the insights gained from the data*  Proactively identify trends in multivariate data and translate findings into prioritized/actionable recommendations*  Perform user behavior and keyword research using a variety of sources*  Constantly learning of new of search engine marketing and web analytics practices*  Create regular reporting, assist with ad hoc analysis, and provide proactive recommendations to optimize an ecommerce platform*  Deliver reports, media plans, etc. and can lead and own client relationships*  Create client-ready media plans, reports, etcSo, if you have  3+ years of experience in a Data Analytics or Web  Optimization role with strong Google Analytics skills... apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Google Analytics
                                    
                                
                            
                            
                                
                                    
                                    Google Tag Manager
                                    
                                
                            
                            
                                
                                    
                                    web optimization
                                    
                                
                            
                            
                                
                                    
                                    SEO",https://www.cybercoders.com/web-analytics-specialist-job-419960
Data Engineer,"Irvine, CA","['100', '120']","If you are a Data Engineer with experience, please read on!Based in a beautiful office in Irvine, We are a cutting edge Medical Device Research and Development company. Our teams utilize cutting edge technologies to build world class software infrastructure that allows our business to access data and make better informed decisions. We are a very successful, stable company and we are leader in our space that is well positioned for continued growth. Due to company growth we are looking for an engineer with 2+ years of experience building ETL Data Pipelines in an AWS environment using a Python, JavaScript, Ruby or Go programming languages.What You Will Be DoingTo assist in designing, creation and debugging of MS SQL ETL packages (SSIS, SP, Views, etc..) as well as exploring existing/new Amazon Web Services (AWS). The ideal candidate would be driven, self-motivated, have a “can do” attitude, and be eager to learn new technology as they will be assisting in transitioning/creating ETL’s on the AWS platform.What You Need for this PositionBachelor’s Degree in Computer Technology preferredExperience in open source language such as Python, Java, PHP, RubyExperience with Redshift, Tableau, and AWS services General experience in Business Objectives and Data Transformation Services (DTS) /SQL Server. Integration Services (SSIS), a plus.What's In It for YouCompetitive compensation and full benefits including healthcare, life insurance, PTO and 401K with company matchEmployee gym, medical/wellness centerCatered lunches and flexible work arrangementsLearn from smart people and strong leadershipPhysician (no more waiting 3 months for a doctors appointment)Game rooms (pool, ping pong, foosball)Employee appreciation days (Company BBQ, special events, etc.)So, if you are a Data Engineer with 2+ years of professional experience building ETL Data Pipelines in an AWS environment using a Python, JavaScript, Ruby or Go programming languages, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    ETL
                                    
                                
                            
                            
                                
                                    
                                    AWS",https://www.cybercoders.com/data-engineer-job-399468
Data Engineer,"Raleigh, NC","['100', '130']","If you are a Data Engineer looking for a new opportunity in the Raleigh area, read on!We are an advertising solutions company based in Raleigh, NC, and we have one of the sharpest teams around! Currently, we are looking for a Data Engineer who wants to join a startup.If you're looking for a great new opportunity, you've found it! Apply now!What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Hadoop- EMR- AWS- Python- Java- ScalaSo, if you are a Data Engineer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Java
                                    
                                
                            
                            
                                
                                    
                                    AWS
                                    
                                
                            
                            
                                
                                    
                                    SPARK
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    Hadoop
                                    
                                
                            
                            
                                
                                    
                                    EMR
                                    
                                
                            
                            
                                
                                    
                                    Scala",https://www.cybercoders.com/data-engineer-job-411893
Data Engineer,"Raleigh, NC","['100', '130']","If you are a Data Engineer looking for a new opportunity in the Raleigh area, read on!We are an advertising solutions company based in Raleigh, NC, and we have one of the sharpest teams around! Currently, we are looking for a Data Engineer who wants to join a startup.If you're looking for a great new opportunity, you've found it! Apply now!What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Hadoop- EMR- AWS- Python- Java- ScalaSo, if you are a Data Engineer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Java
                                    
                                
                            
                            
                                
                                    
                                    AWS
                                    
                                
                            
                            
                                
                                    
                                    SPARK
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    Hadoop
                                    
                                
                            
                            
                                
                                    
                                    EMR
                                    
                                
                            
                            
                                
                                    
                                    Scala",https://www.cybercoders.com/data-engineer-job-405384
Data Engineer,"Raleigh, NC","['100', '130']","If you are a Data Engineer looking for a new opportunity in the Raleigh area, read on!We are an advertising solutions company based in Raleigh, NC, and we have one of the sharpest teams around! Currently, we are looking for a Data Engineer who wants to join a startup.If you're looking for a great new opportunity, you've found it! Apply now!What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Hadoop- EMR- AWS- Python- Java- ScalaSo, if you are a Data Engineer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Java
                                    
                                
                            
                            
                                
                                    
                                    AWS
                                    
                                
                            
                            
                                
                                    
                                    SPARK
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    Hadoop
                                    
                                
                            
                            
                                
                                    
                                    EMR
                                    
                                
                            
                            
                                
                                    
                                    Scala",https://www.cybercoders.com/data-engineer-job-408307
Data Engineer,"Santa Monica, CA","['100', '140']","If you are a talented Data Engineer, please read on!Based in Santa Monica, we are on a mission to connect the world through video by creating and distributing high quality, engaging and shareable digital content all over the world! We look for passionate people who want to change the world and make a difference. People that are driven to disrupt the status quo and not looking for just another job.What You Will Be Doing- SQL and NoSQL databases, from determining business requirements to planning and deploying production systems.- Crawlers against structured and unstructured data sources to grow our ever-expanding data repositories.- Scalable, high availability data generation at web-scale.- Interface with engineers, analysts and product to translate needs to systems and data representations.- Build out structured data representations to enable cutting-edge algorithm development.- Own data quality and build data enterprise.- Design build and launch ETLs in production.What You Need for this Position- 3+ yrs experience with multi-terabyte data systems.- Experience with NoSQL or RDBMS platforms - Cassandra, PostgreSQL, MySQL or Oracle.- Experience with custom ETL design, implementation and maintenance.- Experience working with either an MPP or MapReduce system - Hadoop, Spark or Elastic Search.- Strong understanding of Cloud technologies, architecting, developing or maintaining cloud solutions in cloud environments (e.g Google Cloud Platform or Amazon Web Services).- 3+ years programming experience, Python, R, Spark preferred. - Deep, hands-on experience with schema design and dimensional data modeling.- Ability to analyze data to identify deliverables, gaps and inconsistencies.- MS/BS/BA in CS/Math/EE or related disciplinesWhat's In It for You- Get in at the ground floor.  As one of the first members of the data science team, you will DEFINE Content Intelligence here- Apply your ML chops to one of the hottest problems in the space- Our community parties- Work on a movie studio. Literally. Our Santa Monica offices are the old MTV studios- Plugged into a community of food and travel lovers- Be truly global, we have offices in Santa Monica, Austin, London, Paris, Brazil, Argentina and Japan. - Stock Options- Work with a cool mix of artists, actors, editors, writers and engineers- Data is the biggest focus area right now!- Flexible vacation days and 11 paid holidays- Medical, Dental, Vision, LTD, Life EAP and 401K benefitsSo, if you are a Data Engineer, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Large Data Sets
                                    
                                
                            
                            
                                
                                    
                                    statistical and predictive modeling
                                    
                                
                            
                            
                                
                                    
                                    Machine Learning",https://www.cybercoders.com/data-engineer-job-328856
Data Architect,"Santa Monica, CA",[],"We have significant funding, a proven entrepreneur who has multiple brand name companies behind him & a business model that will revolutionize our category.As our Data Architect, you will apply subject matter expertise to collect, refine and model data generated throughout the product life cycle.  You will be responsible for architecting data models and building data pipelines to fuel analytics teams across multiple verticals: marketing & user acquisition, marketplace shopping, and financial analytics.What You Will Be Doing- Design and develop Data Warehouse Dimensional & Relational Models that will ultimately arm us with the insights to completely transform the vehicle ownership experience- Collaborate with product managers, engineers, BI analysts, data scientists, and business stakeholders to design, implement and deliver insightful analytic solutions- Build, test and refine data pipelines (ETL) across our analytics teams- Automate data quality monitoring and improve auditing capabilities- Research and promote new tools and techniques to shape the future of our data architect environmentWhat You Need for this Position- Experience working with both schema-on write and schema-on read data warehouse technologies- Data modeling for analytics and reporting scalability- Experience in at least one scalable ETL & workflow management tool- Expert understanding of SQL- Proficiency in PythonDesired skills:- Hive, Redshift, Treasure Data- Airflow, Luigi- Tableau, Looker- AWSWhat's In It for YouWe believe in transparency and equality.  We believe in hard work, but we also believe that hard work should be celebrated and rewarded.  That’s why we provide lunch and snacks to fuel your work each day.  We offer free health benefits, paying 100% of medical, dental, and vision care coverage premiums.  We offer flexible work hours and unlimited vacation, which we actually encourage you to use.So if you are a Data Architect.....please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    etll
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    AWS",https://www.cybercoders.com/data-architect-job-348584
Data Scientist,"San Jose, CA",[],"San Jose, CA, US- RELOCATION INCLUDED! **Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.**If you are a Data Scientist/Applied Researcher with 5+ years of experience, please read on!Based in the San Jose area, we are a fast growing, results driven, and successful Online Services Company that specializes in eCommerce. Due to growth and demand for our services, we are in need of hiring for a Data Scientist who has over 5 years of industry experience and possess strong Hadoop, Spark, Scala, Python, R, machine learning, Data mining, Information Retrieval/Search, and NLP background with a passion for solving problems.Join our small, highly collaborative team who enjoy working on large-scale, challenging and interesting problems. The apps you will work to create and enhance are used by thousands of users on a daily basis. It’s a rare opportunity to work for such an agile and dynamic company that also has the stability and resources backing it that we have.If you are interested in joining a Work Hard Play Hard company that pushes the envelope in global commerce and 100% cares about providing a great working environment for its employees, then apply immediately!Top Reasons to Work with Us- Great salary, bonuses and healthy stock options- Awesome office culture, unlimited PTO- Work with cutting edge technologies on an elite team for a powerhouse company!What You Need for this PositionMore Than 5 Years of experience and knowledge of:- Data Science- Applied Research- Hadoop/MapReduce/Spark- Programming (R/Scala/Python/Ruby)- Java Or C++- Data Mining- Machine Learning- Information RetrievalWhat's In It for You- Vacation/PTO- Medical- Dental- Vision- Relocation Assistance- Bonus: 10-20% year-end bonus off base salary- Potential Stock Option- 401(k)So, if you are a Data Scientist with 5+ years of experience, please apply today! **Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.**
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Data Science
                                    
                                
                            
                            
                                
                                    
                                    Applied Research
                                    
                                
                            
                            
                                
                                    
                                    Hadoop/MapReduce/Spark
                                    
                                
                            
                            
                                
                                    
                                    Programming (R/Scala/Python/Ruby)
                                    
                                
                            
                            
                                
                                    
                                    Java Or C++
                                    
                                
                            
                            
                                
                                    
                                    Data Mining
                                    
                                
                            
                            
                                
                                    
                                    Machine Learning
                                    
                                
                            
                            
                                
                                    
                                    Information Retrieval",https://www.cybercoders.com/data-scientist-job-390525
